2022-12-04 18:30:44.953 [main] INFO  Freerouting v1.6.2 (build-date: 2022-07-13)
2022-12-04 18:30:44.966 [main] INFO  Opening 'C:/Users/Envy/Documents/GitHub/Env-H88-KA-COM/KiCad files\freerouting.dsn'...
2022-12-04 18:30:45.950 [main] INFO  Opening 'freerouting.rules'...
2022-12-04 18:30:45.951 [main] ERROR File 'freerouting.rules' was not found.
2022-12-04 18:30:46.043 [Thread-0] INFO  Starting auto-routing...
2022-12-04 18:30:46.044 [main] TRACE Method 'MainApplication.main()' was performed in 1.15 seconds.
2022-12-04 18:30:46.427 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.433 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.446 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.450 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.454 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.460 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.463 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.468 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.490 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.497 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.502 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.511 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.518 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.525 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.532 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.540 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.547 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.555 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.562 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.572 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.584 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.593 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.602 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.612 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.621 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.628 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.638 [Thread-0] WARN  FloatLine: Parameter is null
2022-12-04 18:30:46.646 [Thread-0] WARN  FloatLine: Parameter is null
